F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,T
880,0,0,0,928,0,928,928,488,0,768,768,824,768,1016,632,636,576,880,784,728,720,584,400,330,368,296,224,150,80,14,-6,1,509
144,0,0,0,576,0,576,576,944,0,1728,1728,1680,1728,2832,1968,2120,3456,3360,2784,2928,2784,1936,1984,2122,1632,1200,832,394,96,10,2,1,509
400,0,0,0,192,0,192,192,448,0,192,192,256,192,384,288,328,384,320,256,312,256,184,216,226,128,96,64,18,0,2,2,1,138
144,0,0,0,-64,0,-64,-64,184,0,192,192,344,192,472,376,304,384,400,336,352,336,240,232,228,176,144,104,48,24,8,0,1,512
1328,0,0,0,928,0,928,928,912,0,896,896,992,896,1184,736,560,576,736,640,632,576,472,360,340,320,272,208,144,80,32,8,1,81
16,0,0,0,64,0,64,64,136,0,192,192,280,192,408,312,348,384,560,496,488,496,440,352,342,368,296,224,150,80,14,-6,1,138
144,0,0,0,-64,0,-64,-64,368,0,192,192,0,192,128,32,252,384,32,-32,240,-32,48,224,120,-64,8,8,-60,8,20,0,1,139
48,0,0,0,-32,0,-32,-32,248,0,384,384,104,384,168,-24,220,192,336,304,208,368,160,120,206,80,88,64,-2,16,6,-6,1,509
1648,0,0,0,2720,0,2720,2720,1512,0,3712,3712,1944,3712,3160,1304,1668,3648,2160,1552,2040,976,424,880,894,304,312,208,-66,0,22,-6,1,510
16,0,0,0,-128,0,-128,-128,296,0,832,832,1288,832,2056,1640,1900,2304,2736,2352,2344,2224,1688,1408,1342,1168,904,656,382,160,38,2,1,138
1136,0,0,0,1056,0,1056,1056,656,0,256,256,224,256,160,32,-96,-192,-160,-128,-40,64,184,264,324,320,272,208,144,80,32,8,1,81
2064,0,0,0,2592,0,2592,2592,3008,0,3456,3456,3056,3456,4016,2288,1984,2880,2560,2080,2080,1504,864,736,706,480,384,272,114,48,18,2,1,509
3984,0,0,0,4544,0,4544,4544,3160,0,4288,4288,3288,4288,3928,1784,1508,1920,2192,1872,1520,1360,704,312,358,368,296,224,150,80,14,-6,1,509
1296,0,0,0,1728,0,1728,1728,1080,0,1728,1728,1272,1728,1656,792,736,1152,976,784,800,528,304,264,240,176,144,104,48,24,8,0,1,170
432,0,0,0,416,0,416,416,648,0,640,640,568,640,760,440,496,576,624,528,496,464,288,232,256,176,144,104,48,24,8,0,1,513
5232,0,0,0,7968,0,7968,7968,6784,0,9216,9216,7984,9216,10480,5872,4856,7488,6912,5664,5488,4320,2480,2096,2138,1632,1200,832,394,96,10,2,1,138
1840,0,0,0,1632,0,1632,1632,-608,0,1408,1408,-224,1408,96,-608,500,960,64,-96,376,-288,-104,248,120,-64,8,8,-60,8,20,0,1,591
976,0,0,0,1920,0,1920,1920,2448,0,3904,3904,3312,3904,5104,3152,3264,5376,4768,3872,3976,3232,2024,2008,2138,1632,1200,832,394,96,10,2,1,510
304,0,0,0,160,0,160,160,168,0,384,384,360,384,552,360,392,576,560,464,472,400,296,272,300,272,240,184,120,72,32,8,1,511
80,0,0,0,192,0,192,192,512,0,832,832,896,832,1024,608,408,384,512,448,464,448,400,336,336,320,272,208,144,80,32,8,1,22
1648,0,0,0,2720,0,2720,2720,2824,0,3712,3712,3576,3712,4792,2936,2600,3648,3696,3088,3008,2512,1648,1336,1312,1072,832,600,336,136,40,8,1,513
1168,0,0,0,1696,0,1696,1696,1984,0,2176,2176,2576,2176,3280,2192,1876,2112,2624,2272,2144,1952,1440,1024,932,864,696,520,340,168,52,8,1,593
6480,0,0,0,8640,0,8640,8640,6264,0,8640,8640,7224,8640,9144,4824,3896,5760,5456,4496,4272,3216,1856,1368,1312,1072,832,600,336,136,40,8,1,170
16,0,0,0,64,0,64,64,104,0,192,192,184,192,312,216,240,384,368,304,336,304,224,232,240,176,144,104,48,24,8,0,1,170
464,0,0,0,-32,0,-32,-32,-544,0,-512,-512,-368,-512,-304,-48,372,192,640,608,736,928,992,928,916,864,696,520,340,168,52,8,1,593
1744,0,0,0,2656,0,2656,2656,2128,0,3072,3072,2512,3072,3344,1808,1640,2496,2208,1792,1816,1344,792,712,706,480,384,272,114,48,18,2,1,509
464,0,0,0,320,0,320,320,416,0,64,64,192,64,64,32,4,-384,-64,0,-24,256,168,136,148,-64,8,8,-60,8,20,0,1,593
