F0,F1,F2,F3,F4,F5,F6,F7,F8,T
42,0,8,0,0,0,24,0,1,35
4,0,0,0,2,2,0,0,1,42
40,0,8,0,0,0,0,0,1,35
2,0,0,0,0,0,8,0,1,17
16,0,16,0,0,0,2,0,1,10
42,0,0,0,0,0,24,0,1,17
4,0,0,0,2,0,0,0,1,9
18,0,0,8,14,0,0,0,1,19
20,0,4,0,14,0,0,0,1,28
20,0,0,0,10,8,12,4,1,28
18,16,0,0,0,0,0,8,1,35
2,16,0,0,0,16,8,8,1,35
6,0,8,0,2,0,0,4,1,41
30,0,0,8,6,8,0,0,1,29
12,0,24,0,6,8,0,8,1,5
26,16,24,0,0,16,0,0,1,8
2,16,0,0,0,16,0,16,1,35
31,0,4,0,14,0,20,0,1,30
18,0,24,0,0,0,0,0,1,35
6,0,24,0,22,8,0,8,1,35
120,0,80,0,8,0,0,0,1,30
26,0,0,8,8,8,4,0,1,10
28,0,0,8,6,0,0,0,1,27
28,0,0,0,6,0,4,0,1,31
14,0,0,0,12,0,0,8,1,35
16,0,0,0,12,0,0,0,1,4
27,0,8,0,14,0,8,0,1,15
8,0,0,0,0,0,2,0,1,44
26,0,0,0,0,0,16,8,1,35
10,0,4,0,0,0,0,4,1,23
34,0,16,0,4,0,8,0,1,1
18,0,4,0,0,0,0,0,1,44
2,0,0,8,0,8,4,8,1,10
18,0,8,8,0,0,12,0,1,10
4,0,0,0,0,0,6,0,1,24
2,0,16,0,0,0,24,0,1,17
2,0,0,0,0,8,0,8,1,29
