F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,T
9,0,0,-9,9,-9,0,9,9,0,3,12,1,171
18,0,27,27,0,-27,3,18,-9,-3,-9,36,1,119
36,54,-108,-63,81,54,102,-72,-99,30,-36,27,1,70
-81,0,81,-27,0,81,-72,-54,-45,-33,27,114,1,73
3,9,9,3,0,-9,9,-9,9,-12,-6,-12,1,167
-12,9,9,6,-9,0,9,9,9,3,6,3,1,167
81,0,-81,0,81,0,90,-108,90,-24,-27,60,1,131
9,-27,27,-36,-27,-27,18,36,-36,21,-36,-27,1,70
-9,0,0,0,9,-9,3,-9,-9,12,-6,3,1,131
-3,0,9,-9,9,9,-12,0,-9,9,-3,-9,1,121
9,0,-27,36,0,-36,12,-36,18,24,-18,-33,1,130
-6,9,9,6,-9,-9,6,9,0,6,-3,-12,1,36
-3,0,9,-9,-9,9,-3,9,9,12,6,12,1,167
-9,0,0,9,-9,9,-12,0,-9,-12,12,3,1,131
12,0,-9,-3,9,9,3,0,0,-9,-9,-9,1,167
6,9,9,-12,0,9,-3,-9,9,-12,-9,0,1,169
12,0,-9,3,0,-9,-12,-9,-9,-6,-9,0,1,167
3,0,0,6,-9,9,12,9,0,12,-6,0,1,167
18,27,27,-9,0,-9,-12,-9,-18,-6,0,24,1,215
-729,0,243,0,0,0,0,0,0,0,0,0,1,1
-9,0,0,-9,0,0,-3,0,9,-12,6,-3,1,131
3,9,-9,3,9,9,12,0,-9,12,-9,6,1,212
12,9,-9,9,0,9,12,9,-9,-12,9,-6,1,212
81,81,-81,108,54,-27,-18,-54,-117,-36,-57,42,1,173
3,-9,0,-6,-9,9,6,9,9,12,-6,-6,1,167
-6,0,9,0,0,0,3,9,9,-9,3,-12,1,167
-9,0,0,0,-9,-9,3,9,0,-3,-6,3,1,119
81,81,0,108,-27,-108,-72,-99,-72,108,108,12,1,173
18,-27,0,-27,27,27,24,-27,-9,-39,0,9,1,170
-3,0,0,-3,0,0,-3,0,3,-3,-3,-3,1,167
-81,0,-81,81,54,-27,90,99,90,108,-120,12,1,170
-324,0,-324,-27,162,-189,-306,-216,108,192,207,102,1,73
-6,9,9,3,-9,9,6,-9,-12,3,12,0,1,121
3,9,-9,-9,-9,-9,-9,0,9,3,9,9,1,167
3,0,0,-6,-9,0,12,-9,-9,-3,0,9,1,167
-18,0,27,36,-27,-27,-9,9,27,27,0,9,1,16
-18,27,-27,0,-27,-27,-15,18,18,-27,27,18,1,172
90,81,-54,9,27,81,12,-81,-63,-75,63,-81,1,130
12,-9,-9,6,-9,0,6,9,6,-9,12,-6,1,14
-81,0,0,-108,54,-108,-90,72,-81,-69,21,18,1,119
9,0,-9,-9,-9,-9,6,9,-3,6,-6,9,1,18
3,9,9,12,0,0,-9,9,-9,-12,-9,9,1,167
-324,-243,-243,351,162,-162,-198,270,54,357,171,279,1,119
3,-9,-9,12,9,0,9,9,9,-3,0,9,1,167
36,-27,-27,18,-27,-27,33,-9,-36,-21,36,-27,1,130
