F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,T
24,0,0,0,0,0,0,0,0,1,10
24,0,0,0,0,0,3,0,0,1,22
3,0,0,0,0,18,15,18,0,1,17
6,54,0,0,0,0,0,18,0,1,24
6,54,0,0,54,0,9,0,0,1,21
3,0,0,0,0,0,21,0,18,1,24
6,0,0,63,0,0,0,0,9,1,20
6,0,0,0,0,18,3,9,0,1,6
6,18,0,24,0,0,3,0,0,1,8
15,0,0,0,0,9,12,0,0,1,22
6,0,9,12,0,0,9,0,0,1,12
3,0,0,0,0,0,0,18,9,1,24
6,0,0,0,0,9,15,18,18,1,20
3,0,0,18,9,0,9,0,0,1,12
15,0,0,0,0,9,21,0,0,1,22
216,0,27,18,0,18,0,0,0,1,2
6,0,9,12,0,0,0,0,0,1,12
51,0,0,0,0,0,0,18,0,1,24
6,0,9,12,0,0,3,0,0,1,12
12,0,0,0,0,0,0,0,0,1,10
6,27,0,9,0,0,0,9,0,1,21
3,0,0,45,0,0,0,0,0,1,21
3,54,0,0,0,0,0,18,18,1,24
3,27,27,0,0,0,0,0,0,1,21
69,27,27,0,0,0,0,0,9,1,20
30,0,0,0,0,0,0,0,18,1,20
3,0,9,24,0,0,0,0,0,1,20
24,0,0,0,0,0,0,18,0,1,24
6,54,0,0,0,0,0,18,18,1,24
3,0,0,0,0,0,3,0,6,1,15
3,0,0,0,0,0,0,0,6,1,4
27,0,0,0,0,0,6,0,3,1,6
6,0,0,0,0,0,6,9,0,1,24
3,0,0,63,0,0,0,0,0,1,21
6,18,18,12,0,0,0,0,0,1,18
6,0,0,0,0,0,21,18,0,1,22
6,0,0,0,0,0,0,9,0,1,21
3,0,9,15,9,0,3,0,0,1,20
15,0,0,0,0,0,24,0,9,1,24
6,54,0,0,27,0,0,0,0,1,21
6,18,0,12,18,0,3,0,0,1,24
48,0,0,0,0,0,0,0,18,1,20
3,0,9,15,0,0,21,0,0,1,20
12,0,0,3,0,0,0,0,6,1,24
6,0,0,3,0,0,0,3,0,1,18
54,0,27,0,0,18,0,0,0,1,22
12,0,0,0,0,18,6,9,0,1,6
48,0,0,0,0,0,0,9,9,1,21
3,0,0,0,9,0,24,0,0,1,13
3,0,18,24,0,0,0,0,0,1,18
6,9,0,3,0,0,6,0,0,1,10
3,0,0,0,9,0,21,0,0,1,18
27,0,0,18,0,0,0,6,0,1,22
3,0,0,0,18,0,12,0,0,1,24
3,0,0,0,9,0,15,0,0,1,13
3,0,18,0,0,0,0,0,0,1,19
6,0,0,0,18,0,18,0,0,1,12
6,27,0,0,0,0,0,0,9,1,20
3,0,18,12,0,0,0,0,0,1,20
3,9,18,24,0,0,0,0,0,1,10
3,0,0,0,18,0,15,0,0,1,22
6,0,0,0,0,0,24,9,0,1,24
3,0,18,0,0,0,6,0,0,1,4
3,0,0,0,9,0,12,0,0,1,18
3,0,0,0,18,0,21,0,0,1,24
6,0,0,0,18,0,12,0,0,1,13
6,18,9,0,0,0,6,0,0,1,20
6,27,0,27,0,0,0,0,0,1,21
15,0,0,18,18,0,18,0,0,1,12
3,0,0,0,18,0,24,0,0,1,22
6,54,0,63,0,0,0,0,0,1,21
6,0,0,0,18,0,15,0,0,1,18
6,0,0,0,0,0,15,9,0,1,24
3,0,0,0,9,0,18,0,0,1,12
6,0,27,45,0,0,0,0,0,1,21
6,54,0,0,0,0,0,0,9,1,20
6,9,9,0,0,0,3,0,0,1,17
42,0,0,0,0,0,18,0,18,1,24
6,0,9,6,0,0,0,0,0,1,18
6,0,9,3,9,0,0,0,0,1,12
3,54,0,0,0,0,0,0,18,1,20
6,0,0,0,18,0,21,0,0,1,13
3,0,0,9,0,0,0,18,18,1,24
69,0,0,0,0,18,12,9,0,1,1
48,0,0,0,0,0,0,0,9,1,24
6,0,0,0,0,0,9,0,9,1,20
3,9,9,12,0,0,0,0,0,1,11
6,0,0,0,0,0,12,9,0,1,22
6,0,0,0,0,0,6,0,9,1,24
6,0,0,0,18,0,24,0,0,1,18
42,0,0,0,0,0,15,0,0,1,24
6,18,18,0,0,0,6,0,0,1,20
6,0,0,21,0,0,21,0,0,1,21
6,0,0,0,0,0,3,0,9,1,22
48,0,0,0,0,0,9,0,9,1,24
6,0,0,0,0,0,18,9,0,1,21
6,0,0,0,0,0,0,0,9,1,20
24,0,0,0,0,18,3,0,0,1,17
6,0,0,15,0,0,24,0,0,1,24
6,0,9,3,18,0,0,0,0,1,20
6,0,0,21,0,0,24,0,0,1,21
3,0,0,6,0,3,0,0,0,1,18
3,0,0,6,0,0,6,0,0,1,24
15,54,0,9,27,0,0,0,0,1,21
3,0,0,0,0,0,0,18,18,1,24
3,9,0,0,0,0,6,0,0,1,17
3,0,0,0,0,18,3,18,0,1,10
6,0,0,18,0,0,0,18,0,1,24
3,9,0,0,0,0,3,0,0,1,11
3,0,0,6,0,0,0,0,0,1,24
6,0,9,3,0,0,12,0,0,1,20
3,9,0,0,0,0,0,0,0,1,14
21,0,0,0,0,18,15,0,0,1,17
3,0,0,0,0,0,0,9,9,1,21
6,0,0,0,0,9,6,0,18,1,20
12,27,0,0,0,0,6,9,0,1,22
6,0,0,6,0,0,6,6,0,1,8
189,0,0,27,0,54,0,0,0,1,4
6,0,0,18,0,0,0,0,18,1,24
60,54,0,36,0,0,0,0,9,1,20
15,0,0,6,0,0,0,0,0,1,24
12,18,0,0,0,0,6,0,0,1,13
54,0,0,0,9,0,3,0,0,1,22
6,0,0,6,0,0,3,6,0,1,18
12,0,0,24,0,0,0,0,0,1,24
3,0,0,0,0,0,3,6,0,1,19
3,27,0,0,0,0,0,0,18,1,20
3,0,0,0,0,0,0,6,0,1,19
6,27,54,0,0,0,0,0,9,1,20
3,0,0,21,18,0,0,0,0,1,21
15,0,0,0,0,18,0,18,0,1,11
27,0,0,0,0,18,15,0,0,1,17
12,0,0,0,0,0,0,0,9,1,24
6,18,9,18,0,0,6,0,0,1,20
12,0,0,36,0,0,0,0,0,1,21
3,18,9,12,0,0,0,0,0,1,18
6,54,0,0,0,0,18,0,9,1,20
15,0,0,0,0,0,18,0,0,1,10
12,0,0,0,18,0,15,0,0,1,22
24,0,9,3,0,0,18,0,0,1,20
